identifier;author;title;journal;year;group-short;group-long;country
Yoon2007;Yongwook Yoon and Gary Geunbae Lee;Efficient implementation of associative classifiers for document classification;Information Processing and Management;2007;classification-system-and-application-areas;classification-system-and-application-areas;Republic of Korea, Republic of Korea
Kang2015;Kang, Seokho and Cho, Sungzoon and Kang, Pilsung;Multi-class classification via heterogeneous ensemble of one-class classifiers;Engineering Applications of Artificial Intelligence;2015;learning-classification-multiclass;learning-classification-multiclass;Republic of Korea, Republic of Korea, Republic of Korea
Ali2017257;Rahman Ali and Sungyoung Lee and Tae Choong Chung;Accurate multi-criteria decision making methodology for recommending machine learning algorithm;Expert Systems with Applications;2017;evaluation-methods;evaluation-methods;Republic of Korea, Republic of Korea, Republic of Korea
Kang2018;Kang, Mangi and Ahn, Jaelim and Lee, Kichun;Opinion mining using ensemble text hidden Markov models for text classification;Expert Systems with Applications;2018;classification-system-and-application-areas;classification-system-and-application-areas-sentiment-analysis;Republic of Korea, Republic of Korea, Republic of Korea
Ko2004;Youngjoong Ko and Jinwoo Park and Jungyun Seo;Improving text categorization using the importance of sentences;Information Processing and Management;2004;feature-construction;feature-construction;Republic of Korea, Republic of Korea, Republic of Korea
Lim2005;Chul Su Lim and Kong Joo Lee and Gil{-}Chang Kim;Multiple sets of features for automatic genre classification of web documents;Information Processing and Management;2005;learning-multiview;learning-multiview;Republic of Korea, Republic of Korea, Republic of Korea
Choi2014;Dongjin Choi and Byeong{-}Kyu Ko and Heesun Kim and Pankoo Kim;Text analysis for detecting terrorism-related articles on the web;Journal of Network and Computer Applications;2014;classification-system-and-application-areas;classification-system-and-application-areas;Republic of Korea, Republic of Korea, Republic of Korea, Republic of Korea
Fattah2015;Mohamed Abdel Fattah;New term weighting schemes with combination of multiple classifiers for sentiment analysis;Neurocomputing;2015;feature-weight;feature-weight;Saudi Arabia
Diab2017;Diab, Diab M and El Hindi, Khalil M;"Using differential evolution for fine tuning na{\""\i}ve Bayesian classifiers and its application for text classification";Applied Soft Computing;2017;classification-system-and-application-areas;classification-system-and-application-areas;Saudi Arabia, Saudi Arabia
Kan:2005:FWC:1099554.1099649;Kan, Min-Yen and Thi, Hoang Oanh Nguyen;Fast Webpage Classification Using URL Features;Proceedings of the 14th ACM International Conference on Information and Knowledge Management;2005;classification-system-and-application-areas;classification-system-and-application-areas;Singapore, Singapore
Chaturvedi2016;Iti Chaturvedi and Yew{-}Soon Ong and Ivor W. Tsang and Roy E. Welsch and Erik Cambria;Learning word dependencies in text by means of a deep recurrent belief network;Knowledge-Based Systems;2016;feature-construction;feature-construction;Singapore, Singapore, Australia, United States, Singapore
Nguyen2015;Nguyen, Hai-Long and Woon, Yew-Kwong and Ng, Wee-Keong;A survey on data stream clustering and classification;Knowledge and Information Systems;2015;classification-system-and-application-areas;classification-system-and-application-areas-text-data-streams;Singapore, Singapore, Singapore
Sajgalik2017;Sajgalik, Marius and Barla, Michal and Bielikova, Maria;Searching for discriminative words in multidimensional continuous feature space;Computer Speech \& Language;2017;feature-selection;feature-selection;Slovakia, Slovakia, Slovakia
Demsar2006;Janez Demsar;Statistical Comparisons of Classifiers over Multiple Data Sets;Journal of Machine Learning Research;2006;evaluation-methods;evaluation-methods;Slovenia
Pavlinek2017;Miha Pavlinek and Vili Podgorelec;Text classification method based on self-training and LDA;Expert Systems with Applications;2017;feature-construction;feature-construction;Slovenia, Slovenia
